Names,Hometowns,State/Country,,
Greta Skarzynski,Lake Forest,Ill.,,
Tabea Botthof,Erding,Germany,,
Kiersten Goode,La Habra,Calif.,,
Kirsten Nergaard,Stamford,Conn.,,
Tess Dettling,Wilmette,Ill.,,
Rebecca Foggia,Rumson,N.J.,,
Lauren Moriyama,Toronto,Ont.,,
Charlotte Welch,Winchester,Mass.,,
Sofie Zander,Bara,Sweden,,
Rebecca Vanstone,Mississauga,Ont.,,
Kaitlyn Rippon,Pittsford,N.Y.,,
Maya Kerfoot,Mississauga,Ont.,,
Emma Seitz,New York,N.Y.,,
Claire Dalton,Toronto,Ont.,,
Sophie Veronneau,Ottawa,Ont.,,
Grace Lee,Boulder,Colo.,,
Tera Hofmann,Toronto,Ont.,,
Gianna Meloni,Washington,D.C.,,
Courtney DeNaut,Greenwich,Conn.,,
Saroya Tinker,Oshawa,Ont.,,
,,,,
,,,,
Luanna Summer,St. Louis,Mo.,,
Tara Litjens,Kingston,Pa.,,
Iliana Cabral,Camarillo,Calif.,,
Katie Pieterse,Ridgefield,Conn.,,
April Kim,Fredericksburg,Va.,,
Anissa Abboud,Bethlehem,Pa.,,
Laine Garber,Downingtown,Pa.,,
Bridget Condie,St. Louis,Mo.,,
Imogen Davies,Kilmacolm,Scotland,,
Ashley Kim,Fredericksburg,Va.,,
Josie Jahng,Livingston,N.J.,,
Théodora Dillman,Lancaster,Pa.,,
Alex MacKay,North Vancouver,B.C.,,
Lena Ansari,Glenview,Ill.,,
Holly Jackson,Glastonbury,England,,
Annina Zelkin,Lorton,Va.,,
Alissa Wong,West Vancouver,B.C.,,
Sarah King,Davidsonville,Md.,,
Olivia Levieux,Johannesburg,South Africa,,
Camille Scheyer,Glencoe,Ill.,,
Kelly Dolan,Hamden,Conn.,,
Sydney Terroso,York,Pa.,,
,,,,
,,,,
Brett Mallee,Philadelphia,Pa.,,
Logan Soelberg,Los Angeles,Calif.,,
Will Cabrera,Scarsdale,N.Y.,,
Joe Neuman,Port Washington,N.Y.,,
Brady McDermott,Rochester,N.Y.,,
TD Ierlan,Victor,N.Y.,,
Jake Wornow,Westfield,N.J.,,
Brody Wilson,Downingtown,Pa.,,
Lucas Cotler,Syosset,N.Y.,,
Will Weitzel,Newton,Mass.,,
Jack Ocken,Bedford,N.Y.,,
Brian Tevlin,Livingston,N.J.,,
Griffin Thomas,Norwalk,Conn.,,
Konrad Collins,Bend,Ore.,,
Jackson Morrill,Baltimore,Md.,,
Will Renz,Rockville Centre,N.Y.,,
Miles Leniw,Mahwah,N.J.,,
Jack Monfort,Syosset,N.Y.,,
Griffin Wilson,Victoria,B.C.,,
Kyle Zawadzki,Smithtown,N.Y.,,
Sean Kuttin,Head of the Harbor,N.Y.,,
Jack Starr,Washington,D.C.,,
Xander Martin,Stevenson,Md.,,
Chris Hladczuk,Jenkintown,Pa.,,
Patrick Hackler,Skaneateles,N.Y.,,
Jared Paquette,West Islip,N.Y.,,
Korbin Pecora,North Haven,Conn.,,
Chris Fake,Allentown,N.J.,,
Skyler Wilson,Victoria,B.C.,,
Christian Cropp,Jupiter,Fla.,,
Bryce De Muth,Landenberg,Pa.,,
Michael Alexander,West Islip,N.Y.,,
Colin Courtney,Orangeville,Ont.,,
Steven Reilly,Levittown,N.Y.,,
BJ Burlace,Edgewater,Md.,,
Matt Brandau,Timonium,Md.,,
Brian Ward,Mount Lebanon,Pa.,,
Nicholas Ramsey,Morristown,N.J.,,
Matt Gaudet,Hamilton,Ont.,,
Thomas Bragg,Cazenovia,N.Y.,,
Aidan Hynes,Mahopac,N.Y.,,
Sam Selati,Winnetka,Ill.,,
Luke Eschbach,Saint James,N.Y.,,
Elliot Sawyer-Kaplan,New Haven,Conn.,,
Jack Biestek,Durham,N.C.,,
Greg Gatto,Ridgefield,Conn.,,
,,,,
,,,,
Ana Dieroff,Fayetteville,N.Y.,,
Olivia Markert,Centreville,Va.,,
Anna Vetsch,Marcellus,N.Y.,,
Bri Carrasquillo,Alpharetta,Ga.,,
Payton Vaughn,Concord,Mass.,,
Chloe Conaghan,Chevy Chase,Md.,,
Olivia Sokol,Baltimore,Md.,,
Ali Anderson,Syracuse,N.Y.,,
Kelsey Dunn,McLean,Va.,,
Luanna Summer,St. Louis,Mo.,,
Sam Higgins,Shoreham,N.Y.,,
Rachel Anderson,Baltimore,Md.,,
Emma Reilly,Manhasset,N.Y.,,
Jenny Giampalmo,Howard County,Md.,,
Vanessa Yu,Oyster Bay,N.Y.,,
Zoe Durham,Dallas,Texas,,
Amanda Hartzell,Rye,N.Y.,,
Isabelle Webster,Towson,Md.,,
Anna Bowers,Sandy Spring,Md.,,
Delaney Vu,Sound Beach,N.Y.,,
Olivia Penoyer,Manlius,N.Y.,,
Shannon Coughlan,Setauket,N.Y.,,
Clare Boone,Stewartstown,Pa.,,
Bronwyn Davies,Wayland,Mass.,,
Jill Gollob,McLean,Va.,,
Amelia Drake,Morristown,N.J.,,
Colleen Huffman,Glenview,Ill.,,
Emily Clorite,Madison,Conn.,,
JoJo Gum,Dallas,Texas,,
Kenya Boston,Baltimore,Md.,,
,,,,
,,,,
Elizabeth Adelson,Tulsa,Okla.,,
Abrianna Barrett,Skillman,N.J.,,
Aliya Boshnak,Amman,Jordan,,
Bonnie Bostic,Carmel,Ind.,,
Caroline Brashear,Bronxville,NY,,
Lauren Chapey,Mamaroneck,N.Y.,,
Jocelyn Chau,Toronto,Ont.,,
Ariel Claxton,Summit,N.J.,,
Addison Coy,Chicago,Ill.,,
Aliyah Cunningham,Sarasota,Fla.,,
Kayley DeLay,Jacksonville Beach,Fla.,,
Nicole Dirks,Toronto,Ont,,
Lauren Drysch,Orange County,Calif.,,
Lillian Enes,Sacramento,Calif.,,
Natasha Feshbach,Santa Barbara,Calif.,,
Samantha Friborg,Acton,Mass.,,
Erin Gerardo,Aliso Viejo,Calif.,,
Maddie Ghazarian,Cambridge,Ont.,,
Sevanne Ghazarian,Cambridge,Ont.,,
Roxanne Harris,New York,N.Y.,,
Kelli Hines,Laguna Beach,Calif.,,
Deniz Ince,Iowa City,IA,,
Sophie Isom,Dallas,Texas,,
Chloe Jensen,Portland,Ore.,,
Angele Kelly,Manor,Texas,,
Karen Kirunda,Brookhaven,GA,,
Sydney Kunkler,Winnetka,IL,,
Davornne Lindo,Phenix City,Ala.,,
Abigail Long,Mansfield,Mass.,,
Arianna Lord,Cambridge,New Zealand,,
Tessa Malone,Davis,Calif.,,
Sydney McCord,Huntington Beach,California,,
Morgan McCormick,Wilton,Conn.,,
Libby McMahon,West Hartford,Conn.,,
Jane Miller,Phoenix,Ariz.,,
Olivia Mooney,Cambridge,N.Y.,,
Zoe Nuechterlein,Chevy Chase,Md.,,
Emma Osborne,Summit,N.J.,,
Ioanna Panopoulou,Athens,Geece,,
Alladia Patterson,Woodland Hills,Calif.,,
Sarah Pillard,Washington,D.C.,,
Megan Quimby,Mount Laurel,N.J.,,
Caroline Reiner,Glen Head,NY,,
Hannah Schupansky,Pittsburgh,PA,,
Maya Sharp,Thousand Oaks,Calif.,,
Gemma Shepherd,Yatesbury,England,,
Lauren Stavig,Bothell,Wash.,,
Hannah Steffke,Weidman,Mich.,,
Rachel Suss,Metuchen,N.J.,,
Arielle Tessier,Toronto,Ont.,,
Ava Thomas,,,,
Emma Vasen,Ocean Township,N.J.,,
Kosana Weir,London,England,,
Jocelyne Rondeau,South Hadley,MA,,
Jonathan Ascher,New York,N.Y.,,
Ekrem Ayhan,Hackettstown,N.J.,,
Neil Braganza,San Ramon,Calif.,,
Cade Brown,Bellingham,Wash.,,
Chris Brown,Wilmington,Del.,,
Fergal Burnett Small,London,,,
Trenton Charles,Baton Rouge,La,,
Chris Colbert,Wilton,Conn.,,
Nick Dahl,Philadelphia,Pa.,,
Jack Dunn,Barrington,R.I.,,
Itamar Fayler,Benei Dror,Israel,,
Charlie Gardner,Southlake,Texas,,
Liam Garrett,London,UK,,
Harry Grindle,London,UK,,
Darius Jing,Arcadia,Calif.,,
Will Laird,Seattle,Wash.,,
Kyle Macauley,Los Gatos,Calif.,,
